x="709527.8125"	y="244136.4063"
x="704609.625"	y="245107.4063"
x="704632.5"	y="246352.5938"
x="704664.1875"	y="246532.7031"
x="705321.625"	y="246957.2031"
x="707228.3125"	y="247660.0"
x="686823.125"	y="224387.0938"
x="670389.375"	y="261686.7969"
x="671720.5"	y="261267.0938"
x="673139.375"	y="268651.0"
x="673026.6875"	y="266373.6875"
x="674936.0"	y="264665.0"
x="676450.125"	y="262558.9063"
x="676578.0"	y="261726.0"
x="676617.125"	y="261526.5938"
x="676184.3125"	y="260903.0"
x="678016.3125"	y="263022.5"
x="678182.625"	y="262862.1875"
x="677608.625"	y="264361.6875"
x="677462.125"	y="264649.3125"
x="675034.5"	y="267937.9063"
x="678072.1875"	y="266773.0"
x="680942.5"	y="264213.5938"
x="680081.125"	y="267885.0"
x="680279.125"	y="267953.5"
x="679847.5"	y="268219.1875"
x="683283.0"	y="268703.4063"
x="684528.0"	y="270651.4063"
x="677309.375"	y="245125.5938"
x="684856.125"	y="263517.5"
x="686587.0"	y="263668.4063"
x="693805.8125"	y="251549.2969"
x="693907.3125"	y="252048.4063"
x="694925.375"	y="251963.0"
x="657726.625"	y="274244.2188"
x="671141.5"	y="267339.0"
x="671240.5"	y="267606.0"
x="673731.8125"	y="269006.4063"
x="673748.625"	y="269188.4063"
x="673755.375"	y="269211.0"
x="682823.0"	y="274008.6875"
x="682627.875"	y="273855.9063"
x="680922.375"	y="273124.3125"
x="680412.6875"	y="272448.5938"
x="677999.875"	y="271340.6563"
x="664943.9375"	y="270924.5625"
x="651490.8125"	y="238884.4063"
x="693958.3125"	y="257173.0938"
x="693268.125"	y="258049.2969"
x="693085.0"	y="261250.5938"
x="692958.3125"	y="261836.2969"
x="690528.8125"	y="263044.8125"
x="689806.875"	y="261953.9063"
x="689917.3125"	y="261544.5938"
x="689656.125"	y="260527.2031"
x="690458.875"	y="260175.9063"
x="691551.0"	y="258557.0"
x="692823.125"	y="258537.0"
x="693077.1875"	y="258627.9063"
x="691831.6875"	y="260808.5938"
x="692001.0"	y="260721.2031"
x="691897.0"	y="260013.2031"
x="687692.5"	y="258630.5"
x="678334.0"	y="279231.5"
x="677312.625"	y="279754.5"
x="680395.125"	y="273384.1875"
x="679342.5"	y="273507.4063"
x="679273.0"	y="274202.8125"
x="683459.875"	y="273175.9063"
x="683677.875"	y="272940.5"
